date,ticker,PE,PB,ROE,ROA,sector
2020-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-02-29,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-08-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-09-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-10-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-11-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-12-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-02-28,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-08-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-09-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-10-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-11-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2021-12-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-02-28,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-08-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-09-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-10-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-11-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2022-12-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-02-28,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-08-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-09-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-10-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-11-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2023-12-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-02-29,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-08-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-09-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-10-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-11-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2024-12-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-01-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-02-28,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-03-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-04-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-05-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-06-30,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2025-07-31,AAPL,34.473442,51.270588,1.49814,0.24545999,Technology
2020-01-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-02-29,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-03-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-04-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-05-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-06-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-07-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-08-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-09-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-10-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-11-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2020-12-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-01-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-02-28,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-03-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-04-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-05-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-06-30,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
2021-07-31,MSFT,38.309105,11.292746,0.33280998,0.14203,Technology
